left_context,target_word,target_class,overlap_at_5,overlap_at_10,overlap_at_20,overlap_at_50,overlap_at_100,weighted_overlap_at_5,weighted_overlap_at_10,weighted_overlap_at_20,weighted_overlap_at_50,weighted_overlap_at_100
Каждое утро на самый верх,крыши,C2,0.0,0.0625,0.1875,0.1875,0.25,0.0,0.05,0.2,0.2,0.30000000000000004
Убедительно просим вас разборчиво заполнять,купон,C4,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.3125,0.375,0.375,0.375,0.875
На болотах оставался ещё,лед,C3,0.05660377358490566,0.07547169811320754,0.09433962264150944,0.11320754716981132,0.2830188679245283,0.32307692307692304,0.36153846153846153,0.36923076923076925,0.3846153846153846,0.4846153846153846
Дорога ведет в глухой,лес,C1,0.0,0.0,0.0,0.13333333333333333,0.26666666666666666,0.0,0.0,0.0,0.7976190476190476,0.8333333333333333
На ведущей вниз,лестнице,C3,0.0,0.08333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.0,0.06557377049180328,0.0819672131147541,0.19672131147540983,0.21311475409836067
Когда она в самолёте,летела,C2,0.022727272727272728,0.022727272727272728,0.11363636363636363,0.11363636363636363,0.20454545454545456,0.007692307692307693,0.007692307692307693,0.09230769230769231,0.09230769230769231,0.3307692307692308
Возможности этих перемен будут обсуждаться в Париже,летом,C4,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7619047619047619,0.8571428571428571,0.8571428571428571
"Там, недалеко от кухонной двери, сидел",лис,C4,0.02857142857142857,0.14285714285714285,0.2571428571428571,0.34285714285714286,0.4857142857142857,0.008130081300813009,0.13008130081300814,0.21951219512195122,0.29268292682926833,0.5609756097560976
"В багажнике были лопата,",лом,C1,0.0,0.0,0.18181818181818182,0.22727272727272727,0.3181818181818182,0.0,0.0,0.1774193548387097,0.22580645161290322,0.6129032258064516
Старуха была страшной --,лопоухая,C4,0.029411764705882353,0.11764705882352941,0.23529411764705882,0.3235294117647059,0.4411764705882353,0.015151515151515152,0.3181818181818182,0.5151515151515151,0.5757575757575757,0.6666666666666666
Врач прописал заживляющую,мазь,C1,0.25,0.25,0.25,0.25,0.5,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.894736842105263
В бассейне,микробы,C4,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.027210884353741496
В резервациях,миссионеры,C4,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0625,0.0625,0.0625,0.0625,0.5
"Мама брала меня с собой, и мы, сдав",молоко,C4,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.0,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.3157894736842105
Приблизительно в центре тайги,мопед,C4,0.0,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0.0,0.06666666666666667,0.26666666666666666,0.26666666666666666
Не поручайте,мужу,C3,0.0,0.0,0.0,0.35,0.5,0.0,0.0,0.0,0.6144578313253012,0.6867469879518072
В деревнях по-прежнему,мяли,C4,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.4,0.4
В числе возможных кандидатов,называют,C3,0.2,0.4,0.6,0.6,0.6,0.5882352941176471,0.7058823529411765,0.8823529411764706,0.8823529411764706,0.8823529411764706
"Твоё тело расслабляется, и исчезает",напряжение,C1,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.13333333333333333,0.4,0.4,0.4,0.7333333333333334
Он был очень,неопытным,C4,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.1111111111111111,0.16666666666666666
"Они не ели целый день,",несчастные,C4,0.25,0.75,0.75,1.0,1.0,0.4666666666666667,0.8,0.8,1.0,1.0
В речи учёного прозвучало,неявное,C4,0.0425531914893617,0.0851063829787234,0.0851063829787234,0.19148936170212766,0.2765957446808511,0.03773584905660377,0.0660377358490566,0.0660377358490566,0.33962264150943394,0.39622641509433965
Тема эта в то время была,новой,C3,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.1,0.1,0.1,0.15000000000000002,0.25
"Существует легенда, что",ноев,C4,0.0,0.07317073170731707,0.12195121951219512,0.14634146341463414,0.24390243902439024,0.0,0.1206896551724138,0.15517241379310345,0.1724137931034483,0.3275862068965517
Он ловко поддел концом,ножа,C2,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.07894736842105263,0.10526315789473684,0.007462686567164179,0.007462686567164179,0.007462686567164179,0.022388059701492536,0.08208955223880597
У директора школы был тонкий,нюх,C1,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.2916666666666667,0.0425531914893617,0.26595744680851063,0.26595744680851063,0.5957446808510638,0.6063829787234042
У Пашки,обгорели,C4,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.85,0.95,0.95
В конверте вместе с деньгами была,обнаружена,C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Стала стабильнее экономическая и политическая,обстановка,C1,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.7857142857142857,1.0,1.0,1.0
В современном,обществе,C1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9411764705882353
Педагог предъявляет,одинаковые,C4,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.06666666666666667
"Я сказал, что русский солдат",омоет,C4,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.39999999999999997,0.7333333333333333,0.7333333333333333
Старый шкаф,орехового,C4,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.06944444444444445,0.06944444444444445,0.09722222222222221,0.1111111111111111,0.19444444444444442
В сюжете этого фильма какие-то,осы,C4,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.18518518518518517,0.2222222222222222,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.35384615384615387,0.6153846153846154
Ирине досталась,отдельная,C4,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.0625,0.0625,0.0625,0.375
На газовой плите стояла,открытая,C4,0.2,0.2,0.2,0.4,0.4,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8852459016393442,0.8852459016393442
"Я люблю салат из картошки с зеленью, заправленный",пахучим,C4,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.4606741573033708,0.48314606741573035,0.6741573033707865,0.8764044943820225,0.8876404494382022
Ненужный коврик из твёрдой,пластмассы,C1,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.07692307692307693,0.3076923076923077,0.6923076923076923,0.6923076923076923,0.6923076923076923
Что ты хочешь чтобы тебе,повторили,C4,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.0,0.2,0.5333333333333333,0.8,0.8666666666666667
"Журналист взял карандаш,",подвинул,C4,0.1,0.3,0.3,0.3,0.3,0.125,0.25,0.25,0.25,0.25
У мамы есть,подруга,C2,0.0,0.0,0.044444444444444446,0.1111111111111111,0.2,0.0,0.0,0.04938271604938271,0.13580246913580246,0.2962962962962963
Отвернув цветастое,покрывало,C2,0.0,0.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.0,0.0,0.35294117647058826,0.7058823529411765,0.7647058823529412
"У тебя впереди замечательный день,",полный,C4,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.2777777777777778,0.2777777777777778,0.33333333333333337,0.5555555555555556,0.6666666666666666
Этот студент,получает,C3,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.47058823529411764,0.6470588235294118
"Она почти не изменилась, только слегка",пополнела,C2,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.0625,0.0625,0.125,0.375
Перед ним снова была,прежняя,C4,0.0,0.0,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.0,0.0,0.16,0.27,0.28
Торговля продуктами питания является одной из самых,прибыльных,C1,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.5384615384615385
Когда родители,пригрозили,C4,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.46153846153846156
"Товарищ генерал,",противник,C4,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0625,0.0625,0.0625
"Считается, что коллекционирование",раритетных,C3,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857142,0.7142857142857142
"Один футболист, который получил",растяжение,C4,0.0,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.0,0.14285714285714285,0.3571428571428571,0.42857142857142855,0.42857142857142855
Судя по огромному,расходу,C4,0.0,0.0,0.04878048780487805,0.17073170731707318,0.24390243902439024,0.0,0.0,0.07518796992481203,0.5413533834586466,0.5639097744360901
"Город, раскинувшийся вдоль",реки,C1,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.015625,0.046875,0.046875,0.734375,0.734375
Под рукавом рубашки виднелся тонкий,ремешок,C1,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.20689655172413793,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.16049382716049382,0.49382716049382713
На вторичном рынке жилья,розетки,C4,0.0,0.05263157894736842,0.07894736842105263,0.23684210526315788,0.34210526315789475,0.0,0.02564102564102564,0.038461538461538464,0.3205128205128205,0.5128205128205128
Телята быстро,росли,C1,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.3888888888888889,0.3888888888888889
Ваня раскрыл было,рот,C1,0.03125,0.09375,0.1875,0.3125,0.375,0.009174311926605505,0.027522935779816515,0.28440366972477066,0.3577981651376147,0.3944954128440367
В мои обязанности входило утром включить,рубильник,C4,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.29411764705882354,0.4117647058823529
И на берегу озера тогда появляются,русалки,C4,0.0,0.0,0.0,0.02,0.2,0.0,0.0,0.0,0.012345679012345678,0.19753086419753085
"Наживка, на которую он ловил",рыбу,C2,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.015625,0.015625,0.015625,0.03125,0.0625
"Не обнаружив ничего в досье, сыщики решили",рыть,C4,0.0,0.0,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.0,0.0,0.26666666666666666,0.33333333333333337,0.4
Когда мне хотелось,сгущенки,C4,0.0,0.0,0.0,0.16666666666666666,0.3888888888888889,0.0,0.0,0.0,0.25,0.5416666666666666
"Взяв с собой фотоаппарат, вся",семья,C1,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.16666666666666666,0.5555555555555556,0.5555555555555556,0.5555555555555556
"Собаку, виновницу случившегося, приказали",сечь,C4,0.0,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.5454545454545454,0.0,0.26666666666666666,0.33333333333333337,0.5333333333333333,0.6666666666666667
Мне было лень идти на стоянку и сметать,снег,C1,0.2222222222222222,0.2777777777777778,0.4444444444444444,0.5,0.5,0.5512820512820513,0.576923076923077,0.6794871794871795,0.8076923076923077,0.8076923076923077
От смерти его спасла,собака,C2,0.0,0.03333333333333333,0.1,0.13333333333333333,0.23333333333333334,0.0,0.04081632653061224,0.14285714285714285,0.16326530612244897,0.22448979591836732
"По воскресеньям музыканты, исполнявшие",сонату,C4,0.06896551724137931,0.10344827586206896,0.13793103448275862,0.27586206896551724,0.41379310344827586,0.04081632653061224,0.14285714285714285,0.22448979591836732,0.3469387755102041,0.5510204081632653
Он умел из любого,сора,C2,0.0,0.0,0.0967741935483871,0.0967741935483871,0.16129032258064516,0.0,0.0,0.12790697674418605,0.12790697674418605,0.1744186046511628
Если я еще увижу здесь хоть,соринку,C2,0.1,0.1,0.3,0.3,0.5,0.7386363636363636,0.7386363636363636,0.7840909090909091,0.7840909090909091,0.9204545454545454
Количество денег в обороте выросло благодаря,союзу,C4,0.0,0.0625,0.0625,0.125,0.1875,0.0,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.18181818181818182
Он стал плохо,спать,C1,0.0,0.0,0.0,0.16666666666666666,0.4166666666666667,0.0,0.0,0.0,0.3333333333333333,0.5
Работы выполняет,специалист,C4,0.0,0.0,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.0,0.0,0.06666666666666667,0.13333333333333333,0.2
"Зачем ему звонить, если откликается",спокойный,C4,0.2,0.3,0.4,0.6,1.0,0.3529411764705882,0.5294117647058824,0.5882352941176471,0.7647058823529411,1.0
"Я слезал, щупал",стога,C4,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.23529411764705882,0.23529411764705882,0.29411764705882354,0.29411764705882354,0.35294117647058826
Шею Лизы украшало ожерелье,стоимостью,C4,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.875,0.9375,0.9375,0.9375,0.9375
Этот роман захватывает читателя с первой,страницы,C1,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.11764705882352941,0.23529411764705882,1.0,1.0,1.0
Автор принадлежит к числу последних свидетелей,страшных,C2,0.0,0.06666666666666667,0.1,0.2,0.23333333333333334,0.0,0.0819672131147541,0.18032786885245902,0.3114754098360656,0.3278688524590164
В темноте Иван задел острый,сук,C2,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.5454545454545454,0.6075949367088608,0.620253164556962,0.7215189873417722,0.759493670886076,0.7721518987341772
"Приготовь себе диетические овощные блюда,",сытные,C4,0.1111111111111111,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.7777777777777778,0.06666666666666667,0.26666666666666666,0.5333333333333333,0.5333333333333333,0.8666666666666667
"Олень бродил среди берёз, жевал",талый,C4,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.0,0.2,0.4666666666666667,0.6666666666666667,0.7333333333333334
Причиной аварии был мобильный,телефон,C1,0.5,0.5,0.5,0.5,1.0,0.96875,0.96875,0.96875,0.96875,1.0
После завершения,техосмотра,C4,0.0,0.0,0.0,0.21428571428571427,0.2857142857142857,0.0,0.0,0.0,0.29411764705882354,0.35294117647058826
Чтобы придать объем,тонким,C4,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.05555555555555555,0.5,0.5,0.7777777777777777,0.7777777777777777
В лесу ветром,трепало,C2,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.13157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.17105263157894735
В каждом,углу,C4,0.0625,0.125,0.125,0.1875,0.375,0.18461538461538463,0.49230769230769234,0.49230769230769234,0.5692307692307692,0.8153846153846154
Власть судов была такой,узкой,C4,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.05,0.05,0.1,0.35,0.45
Володя каким-то образом,узнал,C2,0.0,0.03125,0.125,0.3125,0.5,0.0,0.17857142857142858,0.3392857142857143,0.4732142857142857,0.6875
За два года накопилась,уйма,C4,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.05263157894736842,0.3684210526315789,0.42105263157894735,0.42105263157894735,0.42105263157894735
Если мы позволим этим людям,уйти,C4,0.0,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.5714285714285714,0.0,0.1,0.1,0.30000000000000004,0.7000000000000001
"Думаю, большой",урон,C4,0.0,0.03125,0.03125,0.0625,0.125,0.0,0.04081632653061224,0.04081632653061224,0.061224489795918366,0.1020408163265306
"Елена сидела в кресле, молодая Мурка",урчала,C2,0.0,0.10256410256410256,0.1794871794871795,0.20512820512820512,0.2564102564102564,0.0,0.496,0.5680000000000001,0.5760000000000001,0.632
От внимания наблюдателя не должна,ускользать,C1,0.13333333333333333,0.13333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.16326530612244897,0.20408163265306123,0.20408163265306123
Государством предлагается,установить,C4,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.13333333333333333,0.13333333333333333,0.2
"Сделав мне знак помолчать, он приложил",ухо,C1,0.0,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.5333333333333333,0.0,0.06451612903225806,0.06451612903225806,0.8279569892473119,0.8387096774193549
"Она успевала убраться, разморозить",фарш,C4,0.0,0.125,0.375,0.625,0.625,0.0,0.05555555555555555,0.16666666666666666,0.5555555555555556,0.5555555555555556
"Что используют для этой прически,",фен,C4,0.0,0.06818181818181818,0.13636363636363635,0.22727272727272727,0.3409090909090909,0.0,0.06666666666666667,0.13333333333333333,0.24166666666666667,0.39166666666666666
"Выбирая вязаную шапочку, знайте, что лучше шапка цвета",хаки,C1,0.0,0.041666666666666664,0.125,0.20833333333333334,0.3333333333333333,0.0,0.02,0.16,0.24,0.62
Она с досадой,хмурила,C4,0.0,0.0,0.06666666666666667,0.1,0.23333333333333334,0.0,0.0,0.48,0.4933333333333333,0.6266666666666666
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,C1,0.2,0.2,0.6,0.6,0.6,0.21052631578947367,0.21052631578947367,0.894736842105263,0.894736842105263,0.894736842105263
Я сделала,шаг,C2,0.0,0.0,0.057692307692307696,0.09615384615384616,0.19230769230769232,0.0,0.0,0.06818181818181818,0.09090909090909091,0.29545454545454547
За министром труда тянется целый,шлейф,C1,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.375,0.375,0.4375,0.6875
Мы установили камеру на новый,штатив,C2,0.0,0.0,0.0425531914893617,0.0851063829787234,0.14893617021276595,0.0,0.0,0.10884353741496598,0.12244897959183673,0.14285714285714285
Ей хотелось выплеснуть чай на бежевый,юлин,C4,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.5,0.018867924528301886,0.20754716981132074,0.20754716981132074,0.41509433962264153,0.5283018867924528
На привале у озера,юный,C4,0.0,0.0,0.041666666666666664,0.125,0.25,0.0,0.0,0.014925373134328358,0.5671641791044776,0.6417910447761194
"Покуда я нахожусь у власти, я буду предметом",ярых,C2,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.5238095238095238,0.05660377358490566,0.1509433962264151,0.1509433962264151,0.24528301886792453,0.37735849056603776
