left_context,target_word,entropy_quartile,H_human,n_human_unique,overlap_at_5,overlap_at_10,overlap_at_20,overlap_at_50,overlap_at_100,weighted_overlap_at_5,weighted_overlap_at_10,weighted_overlap_at_20,weighted_overlap_at_50,weighted_overlap_at_100
В речи учёного прозвучало,неявное,Q4,3.4577708361922044,47,0.0425531914893617,0.0851063829787234,0.0851063829787234,0.19148936170212766,0.2765957446808511,0.03773584905660377,0.0660377358490566,0.0660377358490566,0.33962264150943394,0.39622641509433965
Тема эта в то время была,новой,Q3,2.28995151603326,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.1,0.1,0.1,0.15000000000000002,0.25
"Существует легенда, что",ноев,Q4,3.573697660532122,42,0.0,0.07317073170731707,0.12195121951219512,0.14634146341463414,0.24390243902439024,0.0,0.1206896551724138,0.15517241379310345,0.1724137931034483,0.3275862068965517
Он ловко поддел концом,ножа,Q3,2.647369830722809,39,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.07894736842105263,0.10526315789473684,0.007462686567164179,0.007462686567164179,0.007462686567164179,0.022388059701492536,0.08208955223880597
У директора школы был тонкий,нюх,Q3,2.551494245674996,24,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.2916666666666667,0.0425531914893617,0.26595744680851063,0.26595744680851063,0.5957446808510638,0.6063829787234042
У Пашки,обгорели,Q1,1.495615780172503,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.85,0.95,0.95
В конверте вместе с деньгами была,обнаружена,Q2,1.7228208391142312,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Стала стабильнее экономическая и политическая,обстановка,Q1,0.6559757323365467,3,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.7857142857142857,1.0,1.0,1.0
В современном,обществе,Q1,0.4437572842601484,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9411764705882353
Педагог предъявляет,одинаковые,Q2,1.8943120247335319,8,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.06666666666666667
"Я сказал, что русский солдат",омоет,Q2,1.8594288151492286,8,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.39999999999999997,0.7333333333333333,0.7333333333333333
Старый шкаф,орехового,Q3,2.498014334573413,28,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.06944444444444445,0.06944444444444445,0.09722222222222221,0.1111111111111111,0.19444444444444442
В сюжете этого фильма какие-то,осы,Q3,2.585516451123937,27,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.18518518518518517,0.2222222222222222,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.35384615384615387,0.6153846153846154
Ирине досталась,отдельная,Q3,2.5665989181145106,14,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.0625,0.0625,0.0625,0.375
На газовой плите стояла,открытая,Q1,0.5532157469557519,5,0.2,0.2,0.2,0.4,0.4,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8852459016393442,0.8852459016393442
"Я люблю салат из картошки с зеленью, заправленный",пахучим,Q1,1.5969252978449366,9,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.4606741573033708,0.48314606741573035,0.6741573033707865,0.8764044943820225,0.8876404494382022
Ненужный коврик из твёрдой,пластмассы,Q2,1.69240886298655,7,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.07692307692307693,0.3076923076923077,0.6923076923076923,0.6923076923076923,0.6923076923076923
Что ты хочешь чтобы тебе,повторили,Q2,1.8594288151492286,8,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.0,0.2,0.5333333333333333,0.8,0.8666666666666667
"Журналист взял карандаш,",подвинул,Q2,2.1873223188492537,10,0.1,0.3,0.3,0.3,0.3,0.125,0.25,0.25,0.25,0.25
У мамы есть,подруга,Q4,3.7083120927300754,50,0.0,0.0,0.044444444444444446,0.1111111111111111,0.2,0.0,0.0,0.04938271604938271,0.13580246913580246,0.2962962962962963
Отвернув цветастое,покрывало,Q1,1.6459168300174678,7,0.0,0.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.0,0.0,0.35294117647058826,0.7058823529411765,0.7647058823529412
"У тебя впереди замечательный день,",полный,Q2,2.260203622997563,12,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.2777777777777778,0.2777777777777778,0.33333333333333337,0.5555555555555556,0.6666666666666666
Этот студент,получает,Q2,2.0177460728092216,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.47058823529411764,0.6470588235294118
"Она почти не изменилась, только слегка",пополнела,Q2,1.9927981441098426,9,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.0625,0.0625,0.125,0.375
Перед ним снова была,прежняя,Q3,2.665693589895576,30,0.0,0.0,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.0,0.0,0.16,0.27,0.28
Торговля продуктами питания является одной из самых,прибыльных,Q2,1.711845135233912,7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.5384615384615385
Когда родители,пригрозили,Q3,2.458311329683084,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.46153846153846156
"Товарищ генерал,",противник,Q1,1.1240357221909014,6,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0625,0.0625,0.0625
"Считается, что коллекционирование",раритетных,Q1,1.3517839942896461,6,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857142,0.7142857142857142
"Один футболист, который получил",растяжение,Q3,2.3419942522324253,11,0.0,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.0,0.14285714285714285,0.3571428571428571,0.42857142857142855,0.42857142857142855
Судя по огромному,расходу,Q4,2.822025804192083,42,0.0,0.0,0.04878048780487805,0.17073170731707318,0.24390243902439024,0.0,0.0,0.07518796992481203,0.5413533834586466,0.5639097744360901
"Город, раскинувшийся вдоль",реки,Q1,1.4861611909781802,13,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.015625,0.046875,0.046875,0.734375,0.734375
Под рукавом рубашки виднелся тонкий,ремешок,Q3,2.6992831687985297,29,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.20689655172413793,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.16049382716049382,0.49382716049382713
На вторичном рынке жилья,розетки,Q4,3.4644473698697538,44,0.0,0.05263157894736842,0.07894736842105263,0.23684210526315788,0.34210526315789475,0.0,0.02564102564102564,0.038461538461538464,0.3205128205128205,0.5128205128205128
Телята быстро,росли,Q3,2.4433056711089143,14,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.3888888888888889,0.3888888888888889
Ваня раскрыл было,рот,Q3,2.564621533560878,32,0.03125,0.09375,0.1875,0.3125,0.375,0.009174311926605505,0.027522935779816515,0.28440366972477066,0.3577981651376147,0.3944954128440367
В мои обязанности входило утром включить,рубильник,Q2,1.8864851602714514,9,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.29411764705882354,0.4117647058823529
И на берегу озера тогда появляются,русалки,Q4,3.6344688945341614,50,0.0,0.0,0.0,0.02,0.2,0.0,0.0,0.0,0.012345679012345678,0.19753086419753085
"Наживка, на которую он ловил",рыбу,Q1,0.8753392615884461,10,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.015625,0.015625,0.015625,0.03125,0.0625
"Не обнаружив ничего в досье, сыщики решили",рыть,Q3,2.488327743368588,13,0.0,0.0,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.0,0.0,0.26666666666666666,0.33333333333333337,0.4
Когда мне хотелось,сгущенки,Q4,2.845638493134256,19,0.0,0.0,0.0,0.16666666666666666,0.3888888888888889,0.0,0.0,0.0,0.25,0.5416666666666666
"Взяв с собой фотоаппарат, вся",семья,Q2,1.908036834509066,9,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.16666666666666666,0.5555555555555556,0.5555555555555556,0.5555555555555556
"Собаку, виновницу случившегося, приказали",сечь,Q3,2.2686052856349663,11,0.0,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.5454545454545454,0.0,0.26666666666666666,0.33333333333333337,0.5333333333333333,0.6666666666666667
Мне было лень идти на стоянку и сметать,снег,Q2,2.1310160730780368,19,0.2222222222222222,0.2777777777777778,0.4444444444444444,0.5,0.5,0.5512820512820513,0.576923076923077,0.6794871794871795,0.8076923076923077,0.8076923076923077
От смерти его спасла,собака,Q4,3.1418131225380663,30,0.0,0.03333333333333333,0.1,0.13333333333333333,0.23333333333333334,0.0,0.04081632653061224,0.14285714285714285,0.16326530612244897,0.22448979591836732
"По воскресеньям музыканты, исполнявшие",сонату,Q4,3.3612122412190524,33,0.06896551724137931,0.10344827586206896,0.13793103448275862,0.27586206896551724,0.41379310344827586,0.04081632653061224,0.14285714285714285,0.22448979591836732,0.3469387755102041,0.5510204081632653
Он умел из любого,сора,Q4,3.0553442324771427,32,0.0,0.0,0.0967741935483871,0.0967741935483871,0.16129032258064516,0.0,0.0,0.12790697674418605,0.12790697674418605,0.1744186046511628
Если я еще увижу здесь хоть,соринку,Q2,2.0212496822565265,13,0.1,0.1,0.3,0.3,0.5,0.7386363636363636,0.7386363636363636,0.7840909090909091,0.7840909090909091,0.9204545454545454
Количество денег в обороте выросло благодаря,союзу,Q4,2.775975553103795,18,0.0,0.0625,0.0625,0.125,0.1875,0.0,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.18181818181818182
Он стал плохо,спать,Q3,2.3221879428070658,12,0.0,0.0,0.0,0.16666666666666666,0.4166666666666667,0.0,0.0,0.0,0.3333333333333333,0.5
Работы выполняет,специалист,Q3,2.5232109529528914,13,0.0,0.0,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.0,0.0,0.06666666666666667,0.13333333333333333,0.2
"Зачем ему звонить, если откликается",спокойный,Q3,2.282374376159249,11,0.2,0.3,0.4,0.6,1.0,0.3529411764705882,0.5294117647058824,0.5882352941176471,0.7647058823529411,1.0
"Я слезал, щупал",стога,Q3,2.5577938601077324,14,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.23529411764705882,0.23529411764705882,0.29411764705882354,0.29411764705882354,0.35294117647058826
Шею Лизы украшало ожерелье,стоимостью,Q1,0.46341355882643,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.875,0.9375,0.9375,0.9375,0.9375
Этот роман захватывает читателя с первой,страницы,Q1,0.7086880282185832,3,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.11764705882352941,0.23529411764705882,1.0,1.0,1.0
Автор принадлежит к числу последних свидетелей,страшных,Q4,3.181483376076549,31,0.0,0.06666666666666667,0.1,0.2,0.23333333333333334,0.0,0.0819672131147541,0.18032786885245902,0.3114754098360656,0.3278688524590164
В темноте Иван задел острый,сук,Q1,1.364342606487635,11,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.5454545454545454,0.6075949367088608,0.620253164556962,0.7215189873417722,0.759493670886076,0.7721518987341772
"Приготовь себе диетические овощные блюда,",сытные,Q2,1.9686932085049351,9,0.1111111111111111,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.7777777777777778,0.06666666666666667,0.26666666666666666,0.5333333333333333,0.5333333333333333,0.8666666666666667
"Олень бродил среди берёз, жевал",талый,Q2,1.8065071652616695,7,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.0,0.2,0.4666666666666667,0.6666666666666667,0.7333333333333334
Причиной аварии был мобильный,телефон,Q1,0.13906079845474112,2,0.5,0.5,0.5,0.5,1.0,0.96875,0.96875,0.96875,0.96875,1.0
После завершения,техосмотра,Q3,2.557793860107733,14,0.0,0.0,0.0,0.21428571428571427,0.2857142857142857,0.0,0.0,0.0,0.29411764705882354,0.35294117647058826
Чтобы придать объем,тонким,Q2,1.8891591637540213,10,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.05555555555555555,0.5,0.5,0.7777777777777777,0.7777777777777777
В лесу ветром,трепало,Q4,3.383216508506552,41,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.13157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.17105263157894735
В каждом,углу,Q2,2.1179561896432304,16,0.0625,0.125,0.125,0.1875,0.375,0.18461538461538463,0.49230769230769234,0.49230769230769234,0.5692307692307692,0.8153846153846154
Власть судов была такой,узкой,Q3,2.385428641277482,13,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.05,0.05,0.1,0.35,0.45
Володя каким-то образом,узнал,Q4,2.863119374099482,33,0.0,0.03125,0.125,0.3125,0.5,0.0,0.17857142857142858,0.3392857142857143,0.4732142857142857,0.6875
За два года накопилась,уйма,Q2,2.097366393674809,11,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.05263157894736842,0.3684210526315789,0.42105263157894735,0.42105263157894735,0.42105263157894735
Если мы позволим этим людям,уйти,Q3,2.579843965218023,15,0.0,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.5714285714285714,0.0,0.1,0.1,0.30000000000000004,0.7000000000000001
"Думаю, большой",урон,Q4,3.3115634524711144,32,0.0,0.03125,0.03125,0.0625,0.125,0.0,0.04081632653061224,0.04081632653061224,0.061224489795918366,0.1020408163265306
"Елена сидела в кресле, молодая Мурка",урчала,Q3,2.7052810012739172,40,0.0,0.10256410256410256,0.1794871794871795,0.20512820512820512,0.2564102564102564,0.0,0.496,0.5680000000000001,0.5760000000000001,0.632
От внимания наблюдателя не должна,ускользать,Q2,2.0012038536489953,15,0.13333333333333333,0.13333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.16326530612244897,0.20408163265306123,0.20408163265306123
Государством предлагается,установить,Q3,2.5232109529528914,13,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.13333333333333333,0.13333333333333333,0.2
"Сделав мне знак помолчать, он приложил",ухо,Q2,1.9215309973864827,17,0.0,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.5333333333333333,0.0,0.06451612903225806,0.06451612903225806,0.8279569892473119,0.8387096774193549
"Она успевала убраться, разморозить",фарш,Q2,1.7690361613040135,8,0.0,0.125,0.375,0.625,0.625,0.0,0.05555555555555555,0.16666666666666666,0.5555555555555556,0.5555555555555556
