left_context,target_word,target_lemma,p_target_human,p_target_model,n_human_target_matches,n_model_target_matches
Перед ним снова была,прежняя,прежняя,0.0,0.0,0,0
Торговля продуктами питания является одной из самых,прибыльных,прибыльных,0.3076923076923077,1.843948776597176e-05,1,1
Когда родители,пригрозили,пригрозили,0.0,0.0,0,0
"Товарищ генерал,",противник,противник,0.0,0.0,0,0
"Считается, что коллекционирование",раритетных,раритетных,0.0,9.885100326149138e-05,0,3
"Один футболист, который получил",растяжение,растяжение,0.0,0.0,0,0
Судя по огромному,расходу,расходу,0.0,0.0,0,0
"Город, раскинувшийся вдоль",реки,реки,0.640625,0.0007379447123264566,1,2
Под рукавом рубашки виднелся тонкий,ремешок,ремешок,0.012345679012345678,0.00015356584542815694,1,1
На вторичном рынке жилья,розетки,розетки,0.0,0.0,0,0
Телята быстро,росли,росли,0.2777777777777778,0.004118187795440982,1,3
Ваня раскрыл было,рот,рот,0.22935779816513763,0.00018155845012408938,1,1
В мои обязанности входило утром включить,рубильник,рубильник,0.0,0.0,0,0
И на берегу озера тогда появляются,русалки,русалки,0.0,0.0,0,0
"Наживка, на которую он ловил",рыбу,рыбу,0.828125,0.0,2,0
"Не обнаружив ничего в досье, сыщики решили",рыть,рыть,0.0,0.0,0,0
Когда мне хотелось,сгущенки,сгущенки,0.0,0.0,0,0
"Взяв с собой фотоаппарат, вся",семья,семья,0.1111111111111111,0.15521070590469577,1,2
"Собаку, виновницу случившегося, приказали",сечь,сечь,0.0,0.0,0,0
Мне было лень идти на стоянку и сметать,снег,снег,0.4358974358974359,0.13130400975974219,1,2
От смерти его спасла,собака,собака,0.08163265306122448,0.0,1,0
"По воскресеньям музыканты, исполнявшие",сонату,сонату,0.0,0.0,0,0
Он умел из любого,сора,сора,0.011627906976744186,0.0,1,0
Если я еще увижу здесь хоть,соринку,соринку,0.011363636363636364,0.0,1,0
Количество денег в обороте выросло благодаря,союзу,союзу,0.0,0.0,0,0
Он стал плохо,спать,спать,0.05555555555555555,9.399885897643596e-05,1,1
Работы выполняет,специалист,специалист,0.0,0.0,0,0
"Зачем ему звонить, если откликается",спокойный,спокойный,0.0,0.0,0,0
"Я слезал, щупал",стога,стога,0.0,0.0,0,0
Шею Лизы украшало ожерелье,стоимостью,стоимостью,0.0,0.0,0,0
Этот роман захватывает читателя с первой,страницы,страницы,0.7647058823529411,0.0007059523630997993,1,2
Автор принадлежит к числу последних свидетелей,страшных,страшных,0.01639344262295082,0.0,1,0
В темноте Иван задел острый,сук,сук,0.012658227848101266,0.0,1,0
"Приготовь себе диетические овощные блюда,",сытные,сытные,0.0,0.0,0,0
"Олень бродил среди берёз, жевал",талый,талый,0.0,0.0,0,0
Причиной аварии был мобильный,телефон,телефон,0.96875,0.044015807366190714,1,1
После завершения,техосмотра,техосмотра,0.0,0.0,0,0
Чтобы придать объем,тонким,тонким,0.0,0.0,0,0
В лесу ветром,трепало,трепало,0.013157894736842105,0.0,1,0
В каждом,углу,углу,0.0,0.0,0,0
Власть судов была такой,узкой,узкой,0.0,0.0,0,0
Володя каким-то образом,узнал,узнал,0.17857142857142858,0.0,1,0
За два года накопилась,уйма,уйма,0.0,0.0,0,0
Если мы позволим этим людям,уйти,уйти,0.0,0.0,0,0
"Думаю, большой",урон,урон,0.0,0.0,0,0
"Елена сидела в кресле, молодая Мурка",урчала,урчала,0.008,0.0,1,0
От внимания наблюдателя не должна,ускользать,ускользать,0.04081632653061224,0.041074904917470165,1,3
Государством предлагается,установить,установить,0.0,0.0,0,0
"Сделав мне знак помолчать, он приложил",ухо,ухо,0.08602150537634409,7.653159351575395e-05,1,4
"Она успевала убраться, разморозить",фарш,фарш,0.0,0.0,0,0
"Что используют для этой прически,",фен,фен,0.0,0.0,0,0
"Выбирая вязаную шапочку, знайте, что лучше шапка цвета",хаки,хаки,0.32,4.953054756122486e-05,1,1
Она с досадой,хмурила,хмурила,0.0,0.0,0,0
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,центре,0.631578947368421,0.0012180806136540745,1,2
Я сделала,шаг,шаг,0.056818181818181816,0.0,1,0
За министром труда тянется целый,шлейф,шлейф,0.25,3.2143910729064625e-05,1,1
Мы установили камеру на новый,штатив,штатив,0.07482993197278912,0.0,1,0
Ей хотелось выплеснуть чай на бежевый,юлин,юлин,0.0,0.0,0,0
На привале у озера,юный,юный,0.0,0.0,0,0
"Покуда я нахожусь у власти, я буду предметом",ярых,ярых,0.018867924528301886,0.0,1,0
