context,mean_delta_across_values,left_context
сонату,0.3056627886897744,"По воскресеньям музыканты, исполнявшие"
сора,0.42168762732098,Он умел из любого
соринку,0.07456461805742341,Если я еще увижу здесь хоть
союзу,0.2519185238833582,Количество денег в обороте выросло благодаря
спать,0.0825469490886293,Он стал плохо
специалист,0.36428743978459205,Работы выполняет
спокойный,0.20331648174821057,"Зачем ему звонить, если откликается"
стога,0.29819054095831665,"Я слезал, щупал"
страницы,0.9837186349071263,Этот роман захватывает читателя с первой
страшных,0.41009753673237265,Автор принадлежит к числу последних свидетелей
сук,0.062483397422806196,В темноте Иван задел острый
сытные,0.14716824554028837,"Приготовь себе диетические овощные блюда,"
талый,0.17283943828850998,"Олень бродил среди берёз, жевал"
телефон,0.010506124992542715,Причиной аварии был мобильный
техосмотра,0.3944444386633966,После завершения
тонким,0.33218397891435425,Чтобы придать объем
трепало,0.39489300924531323,В лесу ветром
углу,0.29495324561374137,В каждом
узкой,0.4172947982192736,Власть судов была такой
узнал,0.4400930933795249,Володя каким-то образом
уйма,0.271374103342808,За два года накопилась
уйти,0.024999211609548884,Если мы позволим этим людям
урон,0.4335198769999679,"Думаю, большой"
урчала,0.4518419581776999,"Елена сидела в кресле, молодая Мурка"
ускользать,0.020429904780707334,От внимания наблюдателя не должна
установить,0.16841570551132465,Государством предлагается
ухо,0.06435227697987464,"Сделав мне знак помолчать, он приложил"
фарш,0.24174407937362416,"Она успевала убраться, разморозить"
фен,0.12835090624623824,"Что используют для этой прически,"
хаки,0.37017983095316315,"Выбирая вязаную шапочку, знайте, что лучше шапка цвета"
хмурила,0.32322956867061703,Она с досадой
центре,0.020913816311351308,"Зоопарк ― это кусочек другого мира, находящийся в самом"
шаг,0.37308111689682155,Я сделала
шлейф,0.04352776541563045,За министром труда тянется целый
штатив,0.38085885981900824,Мы установили камеру на новый
юлин,0.06065917598356438,Ей хотелось выплеснуть чай на бежевый
юный,0.4757985775051604,На привале у озера
ярых,0.19668613112155311,"Покуда я нахожусь у власти, я буду предметом"
