context,mean_delta_across_values,left_context
обстановка,0.0074271360847718015,Стала стабильнее экономическая и политическая
обществе,0.0448261070645825,В современном
одинаковые,0.27019880605348634,Педагог предъявляет
осы,0.25680634700936045,В сюжете этого фильма какие-то
отдельная,0.044116461082507274,Ирине досталась
открытая,0.01040179403891344,На газовой плите стояла
пахучим,0.3028829141722216,"Я люблю салат из картошки с зеленью, заправленный"
пластмассы,0.1515318612237895,Ненужный коврик из твёрдой
подвинул,0.28123050000614325,"Журналист взял карандаш,"
подруга,0.28626325174595274,У мамы есть
покрывало,0.09116635232972947,Отвернув цветастое
прежняя,0.17734141751478752,Перед ним снова была
раритетных,0.4101064973396783,"Считается, что коллекционирование"
растяжение,0.3880952347776459,"Один футболист, который получил"
расходу,0.022860589234289037,Судя по огромному
реки,0.17722693539610695,"Город, раскинувшийся вдоль"
ремешок,0.34414005052768704,Под рукавом рубашки виднелся тонкий
розетки,0.062220118224452926,На вторичном рынке жилья
росли,0.0555548900901713,Телята быстро
рот,0.17474855643488507,Ваня раскрыл было
рубильник,0.3799911653389049,В мои обязанности входило утром включить
русалки,0.30845592473770844,И на берегу озера тогда появляются
рыбу,0.36224564972038725,"Наживка, на которую он ловил"
сгущенки,0.020833122593660318,Когда мне хотелось
семья,0.17117872331925715,"Взяв с собой фотоаппарат, вся"
снег,0.12317241633319206,Мне было лень идти на стоянку и сметать
собака,0.15807303775821793,От смерти его спасла
сонату,0.33285905485130796,"По воскресеньям музыканты, исполнявшие"
сора,0.3471761241124534,Он умел из любого
соринку,0.18240415453951606,Если я еще увижу здесь хоть
союзу,0.09570338771407855,Количество денег в обороте выросло благодаря
спать,0.05555555541005476,Он стал плохо
специалист,0.26476622681978834,Работы выполняет
спокойный,0.05862197030149556,"Зачем ему звонить, если откликается"
стога,0.2937949069725387,"Я слезал, щупал"
страницы,0.028369664990449087,Этот роман захватывает читателя с первой
страшных,0.26292191319592473,Автор принадлежит к числу последних свидетелей
сук,0.06251236255843118,В темноте Иван задел острый
талый,0.1763868815255327,"Олень бродил среди берёз, жевал"
телефон,0.011513064910369856,Причиной аварии был мобильный
техосмотра,0.4292612987141297,После завершения
тонким,0.2550516864653333,Чтобы придать объем
трепало,0.003344475952053638,В лесу ветром
углу,0.25529210700227056,В каждом
узкой,0.02499807221535725,Власть судов была такой
узнал,0.0037546975451171125,Володя каким-то образом
уйма,0.06774718816482395,За два года накопилась
урон,0.3347047170333754,"Думаю, большой"
урчала,0.01199999999058002,"Елена сидела в кресле, молодая Мурка"
установить,0.10175758599229626,Государством предлагается
ухо,0.0482245165409253,"Сделав мне знак помолчать, он приложил"
фарш,0.24896230979597492,"Она успевала убраться, разморозить"
хаки,0.3975395133975123,"Выбирая вязаную шапочку, знайте, что лучше шапка цвета"
центре,0.042871647785425904,"Зоопарк ― это кусочек другого мира, находящийся в самом"
шаг,0.31058111689682155,Я сделала
шлейф,0.012277887160674081,За министром труда тянется целый
штатив,0.3808865417506797,Мы установили камеру на новый
юлин,0.06101764886917499,Ей хотелось выплеснуть чай на бежевый
юный,0.07323266783386095,На привале у озера
ярых,0.10301204204904273,"Покуда я нахожусь у власти, я буду предметом"
