context,mean_delta_across_values,left_context
открытая,0.01770745062905721,На газовой плите стояла
пахучим,0.023216307188041154,"Я люблю салат из картошки с зеленью, заправленный"
пластмассы,0.2841602373564908,Ненужный коврик из твёрдой
подвинул,0.09371039486445541,"Журналист взял карандаш,"
подруга,0.14790552721988595,У мамы есть
покрывало,0.16570182446144088,Отвернув цветастое
полный,0.015706295898005915,"У тебя впереди замечательный день,"
пополнела,0.010299479721649879,"Она почти не изменилась, только слегка"
прежняя,0.12756055018538043,Перед ним снова была
прибыльных,0.08660688569020876,Торговля продуктами питания является одной из самых
противник,0.028867952933765314,"Товарищ генерал,"
раритетных,0.1367007432645426,"Считается, что коллекционирование"
растяжение,0.15286797853179657,"Один футболист, который получил"
расходу,0.010060412526238294,Судя по огромному
реки,0.23692108664942765,"Город, раскинувшийся вдоль"
ремешок,0.0990709697676155,Под рукавом рубашки виднелся тонкий
розетки,0.029129059899062306,На вторичном рынке жилья
росли,0.018548663983536082,Телята быстро
рот,0.2638735008128168,Ваня раскрыл было
рубильник,0.20215598627881426,В мои обязанности входило утром включить
русалки,0.13023811832840518,И на берегу озера тогда появляются
рыбу,0.1179160432207727,"Наживка, на которую он ловил"
сгущенки,0.013888945559564507,Когда мне хотелось
семья,0.06631883369901165,"Взяв с собой фотоаппарат, вся"
снег,0.2469733304392994,Мне было лень идти на стоянку и сметать
собака,0.14329041328180467,От смерти его спасла
сонату,0.17360484691871395,"По воскресеньям музыканты, исполнявшие"
сора,0.140893526136199,Он умел из любого
соринку,0.20815686544110176,Если я еще увижу здесь хоть
союзу,0.10421907803558589,Количество денег в обороте выросло благодаря
спать,0.019969299117661977,Он стал плохо
специалист,0.13254321360380358,Работы выполняет
спокойный,0.07772764183593521,"Зачем ему звонить, если откликается"
стога,0.10105655167922523,"Я слезал, щупал"
страницы,0.328330465205048,Этот роман захватывает читателя с первой
страшных,0.1349736264777521,Автор принадлежит к числу последних свидетелей
сук,0.31250670117202634,В темноте Иван задел острый
сытные,0.024137191654223938,"Приготовь себе диетические овощные блюда,"
талый,0.08042673254269997,"Олень бродил среди берёз, жевал"
телефон,0.003502032335359686,Причиной аварии был мобильный
техосмотра,0.19030500896623026,После завершения
тонким,0.12978966410318005,Чтобы придать объем
трепало,0.003888231046960202,В лесу ветром
углу,0.09320183689344046,В каждом
узкой,0.1474319132203712,Власть судов была такой
узнал,0.0027613384162272193,Володя каким-то образом
уйма,0.09046613465227767,За два года накопилась
уйти,0.008333664186645906,Если мы позволим этим людям
урон,0.11500961208491232,"Думаю, большой"
урчала,0.003999011969881765,"Елена сидела в кресле, молодая Мурка"
ускользать,0.0034013753192924183,От внимания наблюдателя не должна
установить,0.06725025602324161,Государством предлагается
ухо,0.27292713410997593,"Сделав мне знак помолчать, он приложил"
фарш,0.1614461673415736,"Она успевала убраться, разморозить"
фен,0.055827475695698354,"Что используют для этой прически,"
хаки,0.1449990650398126,"Выбирая вязаную шапочку, знайте, что лучше шапка цвета"
центре,0.11641197224706816,"Зоопарк ― это кусочек другого мира, находящийся в самом"
шаг,0.1895297301295231,Я сделала
шлейф,0.014509330946075573,За министром труда тянется целый
штатив,0.20638110629541984,Мы установили камеру на новый
юлин,0.3068504431113655,Ей хотелось выплеснуть чай на бежевый
юный,0.1219128443436504,На привале у озера
ярых,0.22651887719162045,"Покуда я нахожусь у власти, я буду предметом"
