context,mean_delta_across_values,left_context
расходу,0.4853575172598773,Судя по огромному
реки,0.4829551549951952,"Город, раскинувшийся вдоль"
ремешок,0.45183741319174325,Под рукавом рубашки виднелся тонкий
розетки,0.07499936265945074,На вторичном рынке жилья
росли,0.05342771399567509,Телята быстро
рот,0.14599102032385114,Ваня раскрыл было
рубильник,0.007359111584637752,В мои обязанности входило утром включить
русалки,0.16750607096959116,И на берегу озера тогда появляются
рыбу,0.9371725837059252,"Наживка, на которую он ловил"
сгущенки,0.016126605091137336,Когда мне хотелось
семья,0.2616526536944991,"Взяв с собой фотоаппарат, вся"
снег,0.2758637537018259,Мне было лень идти на стоянку и сметать
собака,0.32834628178262376,От смерти его спасла
сонату,0.2744881951225698,"По воскресеньям музыканты, исполнявшие"
сора,0.4563401372682358,Он умел из любого
соринку,0.18970234646354683,Если я еще увижу здесь хоть
союзу,0.12445995933877135,Количество денег в обороте выросло благодаря
спать,0.2816726284397648,Он стал плохо
специалист,0.3270332537949612,Работы выполняет
спокойный,0.057405589643442084,"Зачем ему звонить, если откликается"
стога,0.28578462475894184,"Я слезал, щупал"
стоимостью,0.3121029249869224,Шею Лизы украшало ожерелье
страницы,0.4823877674356903,Этот роман захватывает читателя с первой
страшных,0.46753402287326207,Автор принадлежит к числу последних свидетелей
сук,0.1309116410931803,В темноте Иван задел острый
талый,0.4616610188752862,"Олень бродил среди берёз, жевал"
телефон,0.31172831077076224,Причиной аварии был мобильный
техосмотра,0.465282219178786,После завершения
тонким,0.20753436195090055,Чтобы придать объем
трепало,0.0035340180119442237,В лесу ветром
углу,0.35825807773969115,В каждом
узкой,0.46448105020017655,Власть судов была такой
узнал,0.0035574840195503007,Володя каким-то образом
уйма,0.051815150254217866,За два года накопилась
урон,0.45686378517268145,"Думаю, большой"
урчала,0.011226728467310532,"Елена сидела в кресле, молодая Мурка"
ускользать,0.04161096820749328,От внимания наблюдателя не должна
установить,0.13279798955276786,Государством предлагается
ухо,0.09413637768855548,"Сделав мне знак помолчать, он приложил"
фарш,0.225155706304436,"Она успевала убраться, разморозить"
фен,0.16777838842411577,"Что используют для этой прически,"
хаки,0.4071064997072946,"Выбирая вязаную шапочку, знайте, что лучше шапка цвета"
центре,0.02434927051954311,"Зоопарк ― это кусочек другого мира, находящийся в самом"
шаг,0.08322942492775989,Я сделала
шлейф,0.4880785019631706,За министром труда тянется целый
штатив,0.006032842999854838,Мы установили камеру на новый
юлин,0.0030286199026185816,Ей хотелось выплеснуть чай на бежевый
юный,0.040774127055053885,На привале у озера
ярых,0.10219620470088853,"Покуда я нахожусь у власти, я буду предметом"
